url,ordinary_status,baidu_status,canonical,meta_robots,x_robots_tag,robots_allowed,h1,description,body_chars,depth,ua_identical,evidence
https://mianshiwen.cn/,200,200,https://mianshiwen.cn/,,,True,AI 面试助手，让你的经历更好表达。,面试稳是一款 AI 面试助手，可结合简历、目标岗位和知识资料，整理实时面试问题、截图题与技术题的回答思路。,825,0,True,after/00-ordinary.html
https://mianshiwen.cn/guide,200,200,https://mianshiwen.cn/guide,,,True,从准备资料到面试现场，按步骤完成设置,面试稳AI助手使用手册：了解账号登录、面试资料、Windows 与 macOS 伴随程序、实时面试、截图回答、积分会员、支付和隐私设置。,725,1,True,after/01-ordinary.html
https://mianshiwen.cn/features,200,200,https://mianshiwen.cn/features,,,True,从面试准备到现场回答，一条清晰工作流,了解面试稳AI面试助手的核心功能：结合简历、职位JD和知识资料准备面试，支持实时语音、手动输入、截图回答与面试复盘。,833,1,True,after/02-ordinary.html
https://mianshiwen.cn/interview-questions,200,200,https://mianshiwen.cn/interview-questions,,,True,不要只背题目，先理解岗位为什么这样问,面试稳面试题与专题入口：按大模型、RAG、AI Agent、Java后端、前端和算法岗位理解考察重点，并结合简历与JD准备真实回答。,1002,1,True,after/03-ordinary.html
https://mianshiwen.cn/guides,200,200,https://mianshiwen.cn/guides,,,True,把面试准备、回答方法和设备排查分开处理,面试稳面试指南汇总面试准备、STAR回答、电脑收音、macOS权限以及飞书和腾讯会议音频设置方法；产品操作请查看独立使用手册。,858,1,True,after/04-ordinary.html
https://mianshiwen.cn/pricing,200,200,https://mianshiwen.cn/pricing,,,True,先免费体验，再按面试节奏选择,了解面试稳AI助手的免费使用、积分按次与按天会员逻辑，以及回答、截图、知识材料和支付到账的计费边界。,648,1,True,after/05-ordinary.html
https://mianshiwen.cn/download,200,200,https://mianshiwen.cn/download,,,True,先选对版本，再检查系统权限,了解面试稳电脑伴随程序的 macOS Apple Silicon、Intel 与 Windows 版本选择、系统权限、安装检查和官方版本入口。,720,1,True,after/06-ordinary.html
https://mianshiwen.cn/security,200,200,https://mianshiwen.cn/security,,,True,每一种输入，都有清楚的用途和边界,了解面试稳如何处理麦克风、电脑音频、截图、简历、JD、知识材料和面试记录，以及用户授权、导出和删除边界。,586,1,True,after/07-ordinary.html
https://mianshiwen.cn/about,200,200,https://mianshiwen.cn/about,,,True,让面试准备、现场表达和复盘连成一条线,了解面试稳AI助手的产品定位、适用边界、公开能力、品牌联系信息和对真实表达、授权与隐私的基本原则。,617,1,True,after/08-ordinary.html
https://mianshiwen.cn/contact,200,200,https://mianshiwen.cn/contact,,,True,把问题说清楚，我们才能更快定位,通过面试稳官方客服微信和联系邮箱咨询安装、收音、账户、订单或隐私问题，并了解提交问题时需要和不应提供的信息。,562,1,True,after/09-ordinary.html
